Address,Purpose,Description,Evaluate.Green,Evaluate.Red,Expected.Intensity,Control.Type,TargetID,Index
27630314,Staining,DNP (High),-,+,High,Sample-Independent,STAINING,1
43603326,Staining,DNP (Bkg),-,+,Background,Sample-Independent,STAINING,2
21630339,Staining,DNP (20k),-,+,High,Sample-Independent,STAINING,3
41666334,Staining,Biotin (High),+,-,High,Sample-Independent,STAINING,4
34648333,Staining,Biotin (Bkg),+,-,Background,Sample-Independent,STAINING,5
24669308,Staining,Biotin (5k),+,-,Background,Sample-Independent,STAINING,6
28684356,Hybridization,Hyb (High),+,-,High,Sample-Independent,HYBRIDIZATION,1
26772442,Hybridization,Hyb (Medium),+,-,Medium,Sample-Independent,HYBRIDIZATION,2
21771417,Hybridization,Hyb (Low),+,-,Low,Sample-Independent,HYBRIDIZATION,3
13643320,Target removal,Target Removal 1,+,-,Background,Sample-Independent,TARGET REMOVAL,1
42790394,Target removal,Target Removal 2,+,-,Background,Sample-Independent,TARGET REMOVAL,2
63642461,Extension,Extension (A),-,+,High,Sample-Independent,EXTENSION,1
47640365,Extension,Extension (T),-,+,High,Sample-Independent,EXTENSION,2
74666473,Extension,Extension (C),+,-,High,Sample-Independent,EXTENSION,3
31698466,Extension,Extension (G),+,-,High,Sample-Independent,EXTENSION,4
22711390,Bisulfite conversion I,BS Conversion I C1,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,1
46651360,Bisulfite conversion I,BS Conversion I U1,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,2
22795447,Bisulfite conversion I,BS Conversion I C2,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,3
24637490,Bisulfite conversion I,BS Conversion I U2,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,4
56682500,Bisulfite conversion I,BS Conversion I C3,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,5
33665449,Bisulfite conversion I,BS Conversion I U3,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,6
54705438,Bisulfite conversion I,BS Conversion I C4,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,7
57693375,Bisulfite conversion I,BS Conversion I U4,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,8
49720470,Bisulfite conversion I,BS Conversion I C5,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,9
15700381,Bisulfite conversion I,BS Conversion I U5,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,10
26725400,Bisulfite conversion I,BS Conversion I C6,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,11
33635504,Bisulfite conversion I,BS Conversion I U6,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,12
43720395,Bisulfite conversion II,BS Conversion II-1,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,1
70664314,Bisulfite conversion II,BS Conversion II-2,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,2
71718498,Bisulfite conversion II,BS Conversion II-3,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,3
30724412,Bisulfite conversion II,BS Conversion II-4,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,4
67672371,Specificity I,GT Mismatch 1 (MM),+,-,Background,Sample-Dependent,SPECIFICITY I,1
23777311,Specificity I,GT Mismatch 1 (PM),+,-,High,Sample-Dependent,SPECIFICITY I,2
30684480,Specificity I,GT Mismatch 2 (MM),+,-,Background,Sample-Dependent,SPECIFICITY I,3
51804467,Specificity I,GT Mismatch 2 (PM),+,-,High,Sample-Dependent,SPECIFICITY I,4
58661465,Specificity I,GT Mismatch 3 (MM),+,-,Background,Sample-Dependent,SPECIFICITY I,5
10673427,Specificity I,GT Mismatch 3 (PM),+,-,High,Sample-Dependent,SPECIFICITY I,6
51745378,Specificity I,GT Mismatch 4 (MM),-,+,Background,Sample-Dependent,SPECIFICITY I,7
46779338,Specificity I,GT Mismatch 4 (PM),-,+,High,Sample-Dependent,SPECIFICITY I,8
65797428,Specificity I,GT Mismatch 5 (MM),-,+,Background,Sample-Dependent,SPECIFICITY I,9
59783305,Specificity I,GT Mismatch 5 (PM),-,+,High,Sample-Dependent,SPECIFICITY I,10
12808347,Specificity I,GT Mismatch 6 (MM),-,+,Background,Sample-Dependent,SPECIFICITY I,11
53740460,Specificity I,GT Mismatch 6 (PM),-,+,High,Sample-Dependent,SPECIFICITY I,12
29662396,Specificity II,Specificity 1,-,+,High,Sample-Dependent,SPECIFICITY II,1
17661470,Specificity II,Specificity 2,-,+,High,Sample-Dependent,SPECIFICITY II,2
34730329,Specificity II,Specificity 3,-,+,High,Sample-Dependent,SPECIFICITY II,3
24701411,Non-Polymorphic,NP (A),-,+,High,Sample-Dependent,NON-POLYMORPHIC,1
18773482,Non-Polymorphic,NP (T),-,+,High,Sample-Dependent,NON-POLYMORPHIC,2
23663352,Non-Polymorphic,NP (C),+,-,High,Sample-Dependent,NON-POLYMORPHIC,3
70645401,Non-Polymorphic,NP (G),+,-,High,Sample-Dependent,NON-POLYMORPHIC,4
13792480,Negative,Negative 1,+,+,Background,Sample-Dependent,NEGATIVE,1
69649505,Negative,Negative 2,+,+,Background,Sample-Dependent,NEGATIVE,2
34772371,Negative,Negative 3,+,+,Background,Sample-Dependent,NEGATIVE,3
28715352,Negative,Negative 4,+,+,Background,Sample-Dependent,NEGATIVE,4
74737439,Negative,Negative 5,+,+,Background,Sample-Dependent,NEGATIVE,5
33730459,Negative,Negative 6,+,+,Background,Sample-Dependent,NEGATIVE,6
54647418,Negative,Negative 7,+,+,Background,Sample-Dependent,NEGATIVE,7
71684459,Negative,Negative 8,+,+,Background,Sample-Dependent,NEGATIVE,8
40758350,Negative,Negative 9,+,+,Background,Sample-Dependent,NEGATIVE,9
35678453,Negative,Negative 10,+,+,Background,Sample-Dependent,NEGATIVE,10
33794466,Negative,Negative 11,+,+,Background,Sample-Dependent,NEGATIVE,11
64607409,Negative,Negative 12,+,+,Background,Sample-Dependent,NEGATIVE,12
37639436,Negative,Negative 13,+,+,Background,Sample-Dependent,NEGATIVE,13
44804473,Negative,Negative 14,+,+,Background,Sample-Dependent,NEGATIVE,14
45735479,Negative,Negative 15,+,+,Background,Sample-Dependent,NEGATIVE,15
74688409,Negative,Negative 16,+,+,Background,Sample-Dependent,NEGATIVE,16
37748499,Negative,Negative 17,+,+,Background,Sample-Dependent,NEGATIVE,17
15760434,Negative,Negative 18,+,+,Background,Sample-Dependent,NEGATIVE,18
39647340,Negative,Negative 19,+,+,Background,Sample-Dependent,NEGATIVE,19
46770480,Negative,Negative 20,+,+,Background,Sample-Dependent,NEGATIVE,20
73794328,Negative,Negative 21,+,+,Background,Sample-Dependent,NEGATIVE,21
13762418,Negative,Negative 22,+,+,Background,Sample-Dependent,NEGATIVE,22
57645303,Negative,Negative 23,+,+,Background,Sample-Dependent,NEGATIVE,23
44767440,Negative,Negative 24,+,+,Background,Sample-Dependent,NEGATIVE,24
74602472,Negative,Negative 25,+,+,Background,Sample-Dependent,NEGATIVE,25
51736450,Negative,Negative 26,+,+,Background,Sample-Dependent,NEGATIVE,26
61694431,Negative,Negative 27,+,+,Background,Sample-Dependent,NEGATIVE,27
22623305,Negative,Negative 28,+,+,Background,Sample-Dependent,NEGATIVE,28
34681355,Negative,Negative 29,+,+,Background,Sample-Dependent,NEGATIVE,29
38610459,Negative,Negative 30,+,+,Background,Sample-Dependent,NEGATIVE,30
71637302,Negative,Negative 31,+,+,Background,Sample-Dependent,NEGATIVE,31
11634395,Negative,Negative 32,+,+,Background,Sample-Dependent,NEGATIVE,32
52673469,Negative,Negative 33,+,+,Background,Sample-Dependent,NEGATIVE,33
24725313,Negative,Negative 34,+,+,Background,Sample-Dependent,NEGATIVE,34
62687391,Negative,Negative 35,+,+,Background,Sample-Dependent,NEGATIVE,35
59623346,Negative,Negative 36,+,+,Background,Sample-Dependent,NEGATIVE,36
36628412,Negative,Negative 37,+,+,Background,Sample-Dependent,NEGATIVE,37
72706346,Negative,Negative 38,+,+,Background,Sample-Dependent,NEGATIVE,38
52773311,Negative,Negative 39,+,+,Background,Sample-Dependent,NEGATIVE,39
34658309,Negative,Negative 40,+,+,Background,Sample-Dependent,NEGATIVE,40
36675490,Negative,Negative 41,+,+,Background,Sample-Dependent,NEGATIVE,41
27699343,Negative,Negative 42,+,+,Background,Sample-Dependent,NEGATIVE,42
61729339,Negative,Negative 43,+,+,Background,Sample-Dependent,NEGATIVE,43
71624317,Negative,Negative 44,+,+,Background,Sample-Dependent,NEGATIVE,44
15797359,Negative,Negative 45,+,+,Background,Sample-Dependent,NEGATIVE,45
17697426,Negative,Negative 46,+,+,Background,Sample-Dependent,NEGATIVE,46
53747447,Negative,Negative 47,+,+,Background,Sample-Dependent,NEGATIVE,47
41671439,Negative,Negative 48,+,+,Background,Sample-Dependent,NEGATIVE,48
36647382,Negative,Negative 49,+,+,Background,Sample-Dependent,NEGATIVE,49
19667322,Negative,Negative 50,+,+,Background,Sample-Dependent,NEGATIVE,50
73646500,Negative,Negative 51,+,+,Background,Sample-Dependent,NEGATIVE,51
48796393,Negative,Negative 52,+,+,Background,Sample-Dependent,NEGATIVE,52
14693463,Negative,Negative 53,+,+,Background,Sample-Dependent,NEGATIVE,53
41618467,Negative,Negative 54,+,+,Background,Sample-Dependent,NEGATIVE,54
19735359,Negative,Negative 55,+,+,Background,Sample-Dependent,NEGATIVE,55
64613447,Negative,Negative 56,+,+,Background,Sample-Dependent,NEGATIVE,56
44698389,Negative,Negative 57,+,+,Background,Sample-Dependent,NEGATIVE,57
17728375,Negative,Negative 58,+,+,Background,Sample-Dependent,NEGATIVE,58
74726377,Negative,Negative 59,+,+,Background,Sample-Dependent,NEGATIVE,59
38694476,Negative,Negative 60,+,+,Background,Sample-Dependent,NEGATIVE,60
18717404,Negative,Negative 61,+,+,Background,Sample-Dependent,NEGATIVE,61
13695465,Negative,Negative 62,+,+,Background,Sample-Dependent,NEGATIVE,62
13730428,Negative,Negative 63,+,+,Background,Sample-Dependent,NEGATIVE,63
42731444,Negative,Negative 64,+,+,Background,Sample-Dependent,NEGATIVE,64
59616409,Negative,Negative 65,+,+,Background,Sample-Dependent,NEGATIVE,65
22706307,Negative,Negative 66,+,+,Background,Sample-Dependent,NEGATIVE,66
31766306,Negative,Negative 67,+,+,Background,Sample-Dependent,NEGATIVE,67
39609442,Negative,Negative 68,+,+,Background,Sample-Dependent,NEGATIVE,68
33790484,Negative,Negative 69,+,+,Background,Sample-Dependent,NEGATIVE,69
10806301,Negative,Negative 70,+,+,Background,Sample-Dependent,NEGATIVE,70
49756350,Negative,Negative 71,+,+,Background,Sample-Dependent,NEGATIVE,71
29745446,Negative,Negative 72,+,+,Background,Sample-Dependent,NEGATIVE,72
68774378,Negative,Negative 73,+,+,Background,Sample-Dependent,NEGATIVE,73
19746379,Negative,Negative 74,+,+,Background,Sample-Dependent,NEGATIVE,74
58698497,Negative,Negative 75,+,+,Background,Sample-Dependent,NEGATIVE,75
39733339,Negative,Negative 76,+,+,Background,Sample-Dependent,NEGATIVE,76
27722502,Negative,Negative 77,+,+,Background,Sample-Dependent,NEGATIVE,77
57718401,Negative,Negative 78,+,+,Background,Sample-Dependent,NEGATIVE,78
42751432,Negative,Negative 79,+,+,Background,Sample-Dependent,NEGATIVE,79
63616307,Negative,Negative 80,+,+,Background,Sample-Dependent,NEGATIVE,80
58607432,Negative,Negative 81,+,+,Background,Sample-Dependent,NEGATIVE,81
30633490,Negative,Negative 82,+,+,Background,Sample-Dependent,NEGATIVE,82
66765375,Negative,Negative 83,+,+,Background,Sample-Dependent,NEGATIVE,83
44809397,Negative,Negative 84,+,+,Background,Sample-Dependent,NEGATIVE,84
30748463,Negative,Negative 85,+,+,Background,Sample-Dependent,NEGATIVE,85
67709387,Negative,Negative 86,+,+,Background,Sample-Dependent,NEGATIVE,86
21703446,Negative,Negative 87,+,+,Background,Sample-Dependent,NEGATIVE,87
63793358,Negative,Negative 88,+,+,Background,Sample-Dependent,NEGATIVE,88
40671337,Negative,Negative 89,+,+,Background,Sample-Dependent,NEGATIVE,89
49628475,Negative,Negative 90,+,+,Background,Sample-Dependent,NEGATIVE,90
64702437,Negative,Negative 91,+,+,Background,Sample-Dependent,NEGATIVE,91
59809450,Negative,Negative 92,+,+,Background,Sample-Dependent,NEGATIVE,92
42651436,Negative,Negative 93,+,+,Background,Sample-Dependent,NEGATIVE,93
15612396,Negative,Negative 94,+,+,Background,Sample-Dependent,NEGATIVE,94
72751495,Negative,Negative 95,+,+,Background,Sample-Dependent,NEGATIVE,95
46652385,Negative,Negative 96,+,+,Background,Sample-Dependent,NEGATIVE,96
47749327,Negative,Negative 97,+,+,Background,Sample-Dependent,NEGATIVE,97
65692343,Negative,Negative 98,+,+,Background,Sample-Dependent,NEGATIVE,98
18690397,Negative,Negative 99,+,+,Background,Sample-Dependent,NEGATIVE,99
48671446,Negative,Negative 100,+,+,Background,Sample-Dependent,NEGATIVE,100
23719447,Negative,Negative 101,+,+,Background,Sample-Dependent,NEGATIVE,101
63718317,Negative,Negative 102,+,+,Background,Sample-Dependent,NEGATIVE,102
48614418,Negative,Negative 103,+,+,Background,Sample-Dependent,NEGATIVE,103
53732484,Negative,Negative 104,+,+,Background,Sample-Dependent,NEGATIVE,104
51654304,Negative,Negative 105,+,+,Background,Sample-Dependent,NEGATIVE,105
67796487,Negative,Negative 106,+,+,Background,Sample-Dependent,NEGATIVE,106
14667385,Negative,Negative 107,+,+,Background,Sample-Dependent,NEGATIVE,107
66777429,Negative,Negative 108,+,+,Background,Sample-Dependent,NEGATIVE,108
17763347,Negative,Negative 109,+,+,Background,Sample-Dependent,NEGATIVE,109
37773393,Negative,Negative 110,+,+,Background,Sample-Dependent,NEGATIVE,110
56669346,Negative,Negative 111,+,+,Background,Sample-Dependent,NEGATIVE,111
22667496,Negative,Negative 112,+,+,Background,Sample-Dependent,NEGATIVE,112
56717403,Negative,Negative 113,+,+,Background,Sample-Dependent,NEGATIVE,113
51649417,Negative,Negative 114,+,+,Background,Sample-Dependent,NEGATIVE,114
27808455,Negative,Negative 115,+,+,Background,Sample-Dependent,NEGATIVE,115
51807349,Negative,Negative 116,+,+,Background,Sample-Dependent,NEGATIVE,116
48623411,Negative,Negative 117,+,+,Background,Sample-Dependent,NEGATIVE,117
20768333,Negative,Negative 118,+,+,Background,Sample-Dependent,NEGATIVE,118
32769401,Negative,Negative 119,+,+,Background,Sample-Dependent,NEGATIVE,119
39605397,Negative,Negative 120,+,+,Background,Sample-Dependent,NEGATIVE,120
38646418,Negative,Negative 121,+,+,Background,Sample-Dependent,NEGATIVE,121
44684348,Negative,Negative 122,+,+,Background,Sample-Dependent,NEGATIVE,122
18731300,Negative,Negative 123,+,+,Background,Sample-Dependent,NEGATIVE,123
41746382,Negative,Negative 124,+,+,Background,Sample-Dependent,NEGATIVE,124
62715445,Negative,Negative 125,+,+,Background,Sample-Dependent,NEGATIVE,125
59733458,Negative,Negative 126,+,+,Background,Sample-Dependent,NEGATIVE,126
46804470,Negative,Negative 127,+,+,Background,Sample-Dependent,NEGATIVE,127
33719470,Negative,Negative 128,+,+,Background,Sample-Dependent,NEGATIVE,128
57741357,Negative,Negative 129,+,+,Background,Sample-Dependent,NEGATIVE,129
51630461,Negative,Negative 130,+,+,Background,Sample-Dependent,NEGATIVE,130
50698313,Negative,Negative 131,+,+,Background,Sample-Dependent,NEGATIVE,131
40757376,Negative,Negative 132,+,+,Background,Sample-Dependent,NEGATIVE,132
48691496,Negative,Negative 133,+,+,Background,Sample-Dependent,NEGATIVE,133
48631323,Negative,Negative 134,+,+,Background,Sample-Dependent,NEGATIVE,134
58743479,Negative,Negative 135,+,+,Background,Sample-Dependent,NEGATIVE,135
63602509,Negative,Negative 136,+,+,Background,Sample-Dependent,NEGATIVE,136
15675471,Negative,Negative 137,+,+,Background,Sample-Dependent,NEGATIVE,137
35733328,Negative,Negative 138,+,+,Background,Sample-Dependent,NEGATIVE,138
28616440,Negative,Negative 139,+,+,Background,Sample-Dependent,NEGATIVE,139
32782393,Negative,Negative 140,+,+,Background,Sample-Dependent,NEGATIVE,140
16669449,Negative,Negative 141,+,+,Background,Sample-Dependent,NEGATIVE,141
48790370,Negative,Negative 142,+,+,Background,Sample-Dependent,NEGATIVE,142
71702433,Negative,Negative 143,+,+,Background,Sample-Dependent,NEGATIVE,143
13614338,Negative,Negative 144,+,+,Background,Sample-Dependent,NEGATIVE,144
66624407,Negative,Negative 145,+,+,Background,Sample-Dependent,NEGATIVE,145
44624509,Negative,Negative 146,+,+,Background,Sample-Dependent,NEGATIVE,146
40783477,Negative,Negative 147,+,+,Background,Sample-Dependent,NEGATIVE,147
57671333,Negative,Negative 148,+,+,Background,Sample-Dependent,NEGATIVE,148
55788503,Negative,Negative 149,+,+,Background,Sample-Dependent,NEGATIVE,149
10766300,Negative,Negative 150,+,+,Background,Sample-Dependent,NEGATIVE,150
21787367,Negative,Negative 151,+,+,Background,Sample-Dependent,NEGATIVE,151
17606370,Negative,Negative 152,+,+,Background,Sample-Dependent,NEGATIVE,152
22789350,Negative,Negative 153,+,+,Background,Sample-Dependent,NEGATIVE,153
55687425,Negative,Negative 154,+,+,Background,Sample-Dependent,NEGATIVE,154
26701424,Negative,Negative 155,+,+,Background,Sample-Dependent,NEGATIVE,155
57727413,Negative,Negative 156,+,+,Background,Sample-Dependent,NEGATIVE,156
39657358,Negative,Negative 157,+,+,Background,Sample-Dependent,NEGATIVE,157
32708507,Negative,Negative 158,+,+,Background,Sample-Dependent,NEGATIVE,158
21634460,Negative,Negative 159,+,+,Background,Sample-Dependent,NEGATIVE,159
17719340,Negative,Negative 160,+,+,Background,Sample-Dependent,NEGATIVE,160
38749314,Negative,Negative 161,+,+,Background,Sample-Dependent,NEGATIVE,161
27642486,Negative,Negative 162,+,+,Background,Sample-Dependent,NEGATIVE,162
58709354,Negative,Negative 163,+,+,Background,Sample-Dependent,NEGATIVE,163
70803473,Negative,Negative 164,+,+,Background,Sample-Dependent,NEGATIVE,164
30809470,Negative,Negative 165,+,+,Background,Sample-Dependent,NEGATIVE,165
66647505,Negative,Negative 166,+,+,Background,Sample-Dependent,NEGATIVE,166
66738419,Negative,Negative 167,+,+,Background,Sample-Dependent,NEGATIVE,167
37635404,Negative,Negative 168,+,+,Background,Sample-Dependent,NEGATIVE,168
42690458,Negative,Negative 169,+,+,Background,Sample-Dependent,NEGATIVE,169
20791303,Negative,Negative 170,+,+,Background,Sample-Dependent,NEGATIVE,170
56616504,Negative,Negative 171,+,+,Background,Sample-Dependent,NEGATIVE,171
15773503,Negative,Negative 172,+,+,Background,Sample-Dependent,NEGATIVE,172
35645419,Negative,Negative 173,+,+,Background,Sample-Dependent,NEGATIVE,173
13788497,Negative,Negative 174,+,+,Background,Sample-Dependent,NEGATIVE,174
36739329,Negative,Negative 175,+,+,Background,Sample-Dependent,NEGATIVE,175
47806304,Negative,Negative 176,+,+,Background,Sample-Dependent,NEGATIVE,176
19716351,Negative,Negative 177,+,+,Background,Sample-Dependent,NEGATIVE,177
36723508,Negative,Negative 178,+,+,Background,Sample-Dependent,NEGATIVE,178
14636449,Negative,Negative 179,+,+,Background,Sample-Dependent,NEGATIVE,179
18610491,Negative,Negative 180,+,+,Background,Sample-Dependent,NEGATIVE,180
65642346,Negative,Negative 181,+,+,Background,Sample-Dependent,NEGATIVE,181
21780347,Negative,Negative 182,+,+,Background,Sample-Dependent,NEGATIVE,182
38786493,Negative,Negative 183,+,+,Background,Sample-Dependent,NEGATIVE,183
52770489,Negative,Negative 184,+,+,Background,Sample-Dependent,NEGATIVE,184
63722503,Negative,Negative 185,+,+,Background,Sample-Dependent,NEGATIVE,185
23716350,Negative,Negative 186,+,+,Background,Sample-Dependent,NEGATIVE,186
34730322,Negative,Negative 187,+,+,Background,Sample-Dependent,NEGATIVE,187
59678332,Negative,Negative 188,+,+,Background,Sample-Dependent,NEGATIVE,188
17711307,Negative,Negative 189,+,+,Background,Sample-Dependent,NEGATIVE,189
58610399,Negative,Negative 190,+,+,Background,Sample-Dependent,NEGATIVE,190
27797433,Negative,Negative 191,+,+,Background,Sample-Dependent,NEGATIVE,191
56765474,Negative,Negative 192,+,+,Background,Sample-Dependent,NEGATIVE,192
33631454,Negative,Negative 193,+,+,Background,Sample-Dependent,NEGATIVE,193
53798451,Negative,Negative 194,+,+,Background,Sample-Dependent,NEGATIVE,194
55696369,Negative,Negative 195,+,+,Background,Sample-Dependent,NEGATIVE,195
37714454,Negative,Negative 196,+,+,Background,Sample-Dependent,NEGATIVE,196
40718477,Negative,Negative 197,+,+,Background,Sample-Dependent,NEGATIVE,197
70800305,Negative,Negative 198,+,+,Background,Sample-Dependent,NEGATIVE,198
59795323,Negative,Negative 199,+,+,Background,Sample-Dependent,NEGATIVE,199
16634315,Negative,Negative 200,+,+,Background,Sample-Dependent,NEGATIVE,200
63701462,Negative,Negative 201,+,+,Background,Sample-Dependent,NEGATIVE,201
46770381,Negative,Negative 202,+,+,Background,Sample-Dependent,NEGATIVE,202
43648347,Negative,Negative 203,+,+,Background,Sample-Dependent,NEGATIVE,203
27694462,Negative,Negative 204,+,+,Background,Sample-Dependent,NEGATIVE,204
64677468,Negative,Negative 205,+,+,Background,Sample-Dependent,NEGATIVE,205
71722434,Negative,Negative 206,+,+,Background,Sample-Dependent,NEGATIVE,206
22609385,Negative,Negative 207,+,+,Background,Sample-Dependent,NEGATIVE,207
21778313,Negative,Negative 208,+,+,Background,Sample-Dependent,NEGATIVE,208
23740406,Negative,Negative 209,+,+,Background,Sample-Dependent,NEGATIVE,209
54660350,Negative,Negative 210,+,+,Background,Sample-Dependent,NEGATIVE,210
54604316,Negative,Negative 211,+,+,Background,Sample-Dependent,NEGATIVE,211
54602452,Negative,Negative 212,+,+,Background,Sample-Dependent,NEGATIVE,212
47638351,Negative,Negative 213,+,+,Background,Sample-Dependent,NEGATIVE,213
39627308,Negative,Negative 214,+,+,Background,Sample-Dependent,NEGATIVE,214
25616364,Negative,Negative 215,+,+,Background,Sample-Dependent,NEGATIVE,215
48803364,Negative,Negative 216,+,+,Background,Sample-Dependent,NEGATIVE,216
51609389,Negative,Negative 217,+,+,Background,Sample-Dependent,NEGATIVE,217
16619433,Negative,Negative 218,+,+,Background,Sample-Dependent,NEGATIVE,218
64670483,Negative,Negative 219,+,+,Background,Sample-Dependent,NEGATIVE,219
43623510,Negative,Negative 220,+,+,Background,Sample-Dependent,NEGATIVE,220
19655377,Negative,Negative 221,+,+,Background,Sample-Dependent,NEGATIVE,221
54610311,Negative,Negative 222,+,+,Background,Sample-Dependent,NEGATIVE,222
14694306,Negative,Negative 223,+,+,Background,Sample-Dependent,NEGATIVE,223
26768510,Negative,Negative 224,+,+,Background,Sample-Dependent,NEGATIVE,224
11799488,Negative,Negative 225,+,+,Background,Sample-Dependent,NEGATIVE,225
63609386,Negative,Negative 226,+,+,Background,Sample-Dependent,NEGATIVE,226
22636496,Negative,Negative 227,+,+,Background,Sample-Dependent,NEGATIVE,227
19642457,Negative,Negative 228,+,+,Background,Sample-Dependent,NEGATIVE,228
15736392,Negative,Negative 229,+,+,Background,Sample-Dependent,NEGATIVE,229
72703449,Negative,Negative 230,+,+,Background,Sample-Dependent,NEGATIVE,230
59645487,Negative,Negative 231,+,+,Background,Sample-Dependent,NEGATIVE,231
18727400,Negative,Negative 232,+,+,Background,Sample-Dependent,NEGATIVE,232
57676381,Negative,Negative 233,+,+,Background,Sample-Dependent,NEGATIVE,233
21619366,Negative,Negative 234,+,+,Background,Sample-Dependent,NEGATIVE,234
40772413,Negative,Negative 235,+,+,Background,Sample-Dependent,NEGATIVE,235
33729325,Negative,Negative 236,+,+,Background,Sample-Dependent,NEGATIVE,236
32761481,Negative,Negative 237,+,+,Background,Sample-Dependent,NEGATIVE,237
67687427,Negative,Negative 238,+,+,Background,Sample-Dependent,NEGATIVE,238
22683471,Negative,Negative 239,+,+,Background,Sample-Dependent,NEGATIVE,239
63742465,Negative,Negative 240,+,+,Background,Sample-Dependent,NEGATIVE,240
30767497,Negative,Negative 241,+,+,Background,Sample-Dependent,NEGATIVE,241
74748483,Negative,Negative 242,+,+,Background,Sample-Dependent,NEGATIVE,242
65692342,Negative,Negative 243,+,+,Background,Sample-Dependent,NEGATIVE,243
55716389,Negative,Negative 244,+,+,Background,Sample-Dependent,NEGATIVE,244
73681335,Negative,Negative 245,+,+,Background,Sample-Dependent,NEGATIVE,245
21698344,Negative,Negative 246,+,+,Background,Sample-Dependent,NEGATIVE,246
42777359,Negative,Negative 247,+,+,Background,Sample-Dependent,NEGATIVE,247
55659383,Negative,Negative 248,+,+,Background,Sample-Dependent,NEGATIVE,248
62711365,Negative,Negative 249,+,+,Background,Sample-Dependent,NEGATIVE,249
28650324,Negative,Negative 250,+,+,Background,Sample-Dependent,NEGATIVE,250
59785457,Negative,Negative 251,+,+,Background,Sample-Dependent,NEGATIVE,251
20650506,Negative,Negative 252,+,+,Background,Sample-Dependent,NEGATIVE,252
19687436,Negative,Negative 253,+,+,Background,Sample-Dependent,NEGATIVE,253
43704397,Negative,Negative 254,+,+,Background,Sample-Dependent,NEGATIVE,254
54655320,Negative,Negative 255,+,+,Background,Sample-Dependent,NEGATIVE,255
13642439,Negative,Negative 256,+,+,Background,Sample-Dependent,NEGATIVE,256
13610413,Negative,Negative 257,+,+,Background,Sample-Dependent,NEGATIVE,257
70616500,Negative,Negative 258,+,+,Background,Sample-Dependent,NEGATIVE,258
48759321,Negative,Negative 259,+,+,Background,Sample-Dependent,NEGATIVE,259
20774308,Negative,Negative 260,+,+,Background,Sample-Dependent,NEGATIVE,260
45735494,Negative,Negative 261,+,+,Background,Sample-Dependent,NEGATIVE,261
22624440,Negative,Negative 262,+,+,Background,Sample-Dependent,NEGATIVE,262
48681497,Negative,Negative 263,+,+,Background,Sample-Dependent,NEGATIVE,263
56705442,Negative,Negative 264,+,+,Background,Sample-Dependent,NEGATIVE,264
10627500,Negative,Negative 265,+,+,Background,Sample-Dependent,NEGATIVE,265
28799402,Negative,Negative 266,+,+,Background,Sample-Dependent,NEGATIVE,266
19656361,Negative,Negative 267,+,+,Background,Sample-Dependent,NEGATIVE,267
64727389,Negative,Negative 268,+,+,Background,Sample-Dependent,NEGATIVE,268
46784419,Negative,Negative 269,+,+,Background,Sample-Dependent,NEGATIVE,269
58649309,Negative,Negative 270,+,+,Background,Sample-Dependent,NEGATIVE,270
14677363,Negative,Negative 271,+,+,Background,Sample-Dependent,NEGATIVE,271
24741416,Negative,Negative 272,+,+,Background,Sample-Dependent,NEGATIVE,272
40674383,Negative,Negative 273,+,+,Background,Sample-Dependent,NEGATIVE,273
63641352,Negative,Negative 274,+,+,Background,Sample-Dependent,NEGATIVE,274
29746457,Negative,Negative 275,+,+,Background,Sample-Dependent,NEGATIVE,275
47774480,Negative,Negative 276,+,+,Background,Sample-Dependent,NEGATIVE,276
34624334,Negative,Negative 277,+,+,Background,Sample-Dependent,NEGATIVE,277
46809455,Negative,Negative 278,+,+,Background,Sample-Dependent,NEGATIVE,278
57716426,Negative,Negative 279,+,+,Background,Sample-Dependent,NEGATIVE,279
61794438,Negative,Negative 280,+,+,Background,Sample-Dependent,NEGATIVE,280
21682456,Negative,Negative 281,+,+,Background,Sample-Dependent,NEGATIVE,281
50682301,Negative,Negative 282,+,+,Background,Sample-Dependent,NEGATIVE,282
54684414,Negative,Negative 283,+,+,Background,Sample-Dependent,NEGATIVE,283
20661475,Negative,Negative 284,+,+,Background,Sample-Dependent,NEGATIVE,284
41802497,Negative,Negative 285,+,+,Background,Sample-Dependent,NEGATIVE,285
28631434,Negative,Negative 286,+,+,Background,Sample-Dependent,NEGATIVE,286
23698469,Negative,Negative 287,+,+,Background,Sample-Dependent,NEGATIVE,287
